study_hours,attendance,previous_score,final_score
7,98,49,79
4,60,73,49
8,70,64,65
5,75,74,63
7,53,55,62
3,83,41,58
7,97,63,79
8,67,49,65
5,89,77,64
4,84,61,65
8,90,65,73
8,78,82,88
3,78,94,62
6,87,78,81
5,91,66,70
2,70,68,48
8,91,86,82
6,62,77,63
2,98,59,57
5,90,66,67
1,66,80,44
6,58,93,68
9,90,59,81
1,50,83,35
3,51,58,46
7,97,59,69
4,78,74,55
9,82,86,77
3,59,41,35
5,99,69,63
3,89,92,62
7,70,73,80
5,77,61,58
9,60,42,67
7,83,45,68
2,57,54,41
4,71,66,56
9,57,49,61
2,98,48,59
9,64,72,85
5,66,71,52
2,72,87,50
4,73,45,50
7,94,80,75
8,68,75,77
3,54,41,36
1,81,68,59
4,93,43,62
2,50,40,36
8,72,58,76
4,86,65,66
2,57,64,41
6,62,49,53
6,57,92,69
4,72,54,58
6,92,61,70
2,50,90,42
2,94,87,58
4,73,60,55
8,84,61,75
7,73,75,82
9,66,73,70
8,54,69,71
5,69,64,67
2,70,84,65
5,89,67,64
8,80,40,70
9,95,88,93
9,85,84,87
1,60,43,35
9,64,46,71
7,68,88,62
9,56,48,70
8,77,75,78
1,92,58,47
8,54,40,70
8,54,49,59
3,79,75,56
1,81,48,52
8,57,84,70
3,59,85,52
3,87,81,61
1,96,71,58
5,81,71,66
7,97,45,64
9,77,87,82
7,66,77,67
9,80,56,76
8,57,49,65
2,89,89,63
1,74,66,37
7,58,93,78
7,51,89,71
8,64,74,80
5,99,91,79
3,52,60,51
8,98,64,82
6,85,67,76
3,53,86,56
1,63,54,38
3,90,43,63
5,90,68,71
3,74,48,51
1,99,66,47
5,59,65,50
7,70,58,67
7,85,67,74
9,61,56,68
3,76,82,60
7,89,80,86
1,51,81,47
4,62,89,55
4,81,59,57
5,80,84,65
7,65,79,69
7,81,78,73
4,81,88,64
7,83,92,74
3,60,62,47
6,59,86,64
2,64,71,35
9,66,91,93
5,89,86,77
6,67,72,63
4,58,85,58
7,74,44,57
9,89,82,95
7,63,87,82
1,74,73,48
1,99,79,62
9,71,50,73
9,79,89,79
4,69,42,47
9,70,72,79
3,93,50,52
7,81,55,67
6,95,57,69
8,98,69,81
9,70,87,83
5,84,94,68
1,81,49,39
3,79,57,46
8,88,77,86
6,98,58,60
8,61,75,78
9,90,52,85
4,96,85,68
1,67,42,35
1,70,49,37
4,62,77,57
7,70,40,55
2,57,94,50
3,95,66,67
1,89,85,59
5,95,47,57
1,56,90,39
8,72,85,77
1,93,81,55
1,81,56,47
2,60,48,37
2,71,45,45
6,71,82,79
7,92,64,78
5,74,78,65
1,71,88,50
1,77,67,45
3,78,72,62
2,62,93,51
5,67,76,63
6,51,48,53
7,78,57,65
4,70,60,48
7,64,41,61
8,76,82,79
1,99,77,59
6,80,79,69
8,64,75,79
5,72,89,63
4,73,82,71
2,93,76,49
6,62,54,60
6,71,67,67
1,92,57,44
9,86,73,85
6,82,61,73
3,52,50,35
4,68,52,54
4,72,43,38
3,78,61,48
3,79,46,57
3,88,82,60
4,93,93,65
7,96,63,74
4,74,43,61
9,86,67,72
1,96,54,43
8,57,40,68
7,91,94,92
2,65,42,39
8,57,53,58
1,50,77,52
9,93,89,98
9,54,40,67
2,52,77,42
7,50,77,65
3,53,60,45
7,89,87,82
9,84,68,88
4,81,44,57
